iter	Passed	Remaining
421	2141	2933
422	2145	2926
423	2153	2925
424	2156	2918
425	2159	2910
426	2164	2904
427	2169	2900
428	2173	2892
429	2176	2884
430	2182	2880
431	2186	2875
432	2190	2868
433	2194	2862
434	2200	2858
435	2203	2850
436	2207	2844
437	2213	2839
438	2216	2832
439	2219	2824
440	2222	2817
441	2227	2811
442	2230	2804
443	2233	2797
444	2236	2789
445	2239	2782
446	2244	2776
447	2247	2768
448	2250	2761
449	2253	2753
450	2256	2746
451	2260	2740
452	2263	2732
453	2266	2726
454	2269	2718
455	2273	2712
456	2277	2705
457	2280	2698
458	2283	2691
459	2286	2684
460	2291	2678
461	2294	2671
462	2297	2664
463	2300	2657
464	2303	2650
465	2307	2644
466	2310	2637
467	2313	2630
468	2316	2622
469	2320	2616
470	2324	2610
471	2327	2603
472	2330	2596
473	2334	2590
474	2338	2585
475	2342	2578
476	2345	2571
477	2348	2564
478	2352	2559
479	2355	2552
480	2358	2545
481	2361	2538
482	2364	2531
483	2369	2526
484	2373	2520
485	2376	2513
486	2381	2508
487	2389	2506
488	2393	2501
489	2398	2496
490	2405	2494
491	2409	2487
492	2412	2481
493	2421	2480
494	2425	2474
495	2428	2468
496	2437	2467
497	2441	2460
498	2444	2454
499	2450	2450
500	2454	2444
501	2458	2439
502	2466	2437
503	2471	2432
504	2474	2425
505	2480	2421
506	2485	2416
507	2489	2410
508	2493	2404
509	2497	2399
510	2500	2392
511	2503	2386
512	2507	2380
513	2512	2375
514	2515	2368
515	2518	2362
516	2522	2356
517	2526	2351
518	2530	2345
519	2533	2338
520	2536	2332
521	2540	2326
522	2544	2320
523	2547	2313
524	2550	2307
525	2553	2300
526	2557	2295
527	2560	2289
528	2563	2282
529	2566	2276
530	2570	2269
531	2574	2264
532	2577	2258
533	2581	2252
534	2584	2246
535	2587	2239
536	2591	2234
537	2594	2227
538	2597	2221
539	2600	2215
540	2604	2209
541	2607	2203
542	2610	2197
543	2613	2190
544	2616	2184
545	2620	2179
546	2624	2173
547	2627	2167
548	2630	2160
549	2633	2154
550	2637	2149
551	2641	2144
552	2644	2137
553	2647	2131
554	2651	2126
555	2656	2121
556	2659	2115
557	2663	2109
558	2670	2107
559	2674	2101
560	2678	2095
561	2684	2092
562	2690	2088
563	2694	2082
564	2700	2078
565	2705	2074
566	2708	2068
567	2713	2063
568	2721	2061
569	2724	2055
570	2727	2049
571	2735	2047
572	2739	2041
573	2742	2035
574	2748	2031
575	2752	2026
576	2756	2020
577	2759	2014
578	2766	2011
579	2769	2005
580	2773	2000
581	2779	1996
582	2783	1990
583	2786	1985
584	2789	1979
585	2793	1973
586	2797	1968
587	2800	1962
588	2803	1956
589	2806	1950
590	2811	1945
591	2814	1939
592	2817	1933
593	2820	1927
594	2823	1921
595	2827	1916
596	2831	1911
597	2834	1905
598	2838	1899
599	2842	1894
600	2846	1889
601	2849	1883
602	2852	1878
603	2856	1873
604	2860	1867
605	2863	1861
606	2866	1855
607	2869	1849
608	2874	1845
609	2877	1839
610	2881	1834
611	2884	1828
612	2888	1823
613	2891	1818
614	2894	1812
615	2898	1806
616	2901	1800
617	2906	1796
618	2909	1790
619	2912	1785
620	2915	1779
621	2919	1774
622	2922	1768
623	2925	1763
624	2928	1757
625	2932	1751
626	2937	1747
627	2941	1742
628	2945	1737
629	2951	1733
630	2957	1729
631	2961	1724
632	2965	1719
633	2974	1717
634	2978	1711
635	2982	1706
