iter	RMSE
218	720.5056438
219	707.8659468
220	703.3386936
221	693.1889302
222	688.5539391
223	683.8757061
224	679.3634423
225	674.9078828
226	670.582929
227	662.3665435
228	653.1260629
229	648.750032
230	644.3837873
231	640.5203145
232	636.445377
233	632.4057209
234	621.083471
235	610.8691239
236	607.0151241
237	602.8680816
238	599.0010063
239	595.3376577
240	585.2612375
241	581.5826604
242	574.1051584
243	570.5848162
244	567.0884911
245	563.4470727
246	556.658878
247	553.3018416
248	546.1047008
249	538.8073077
250	535.1475104
251	531.576223
252	522.7158677
253	519.4330004
254	516.0461638
255	512.7054454
256	509.4787561
257	503.0422531
258	499.9980111
259	497.0685192
260	489.162743
261	481.6653563
262	478.7802393
263	475.936489
264	472.9809437
265	469.9890968
266	467.1108877
267	461.0938752
268	458.4067991
269	452.5845702
270	449.9436561
271	447.3434862
272	444.6555927
273	437.1158126
274	434.6196807
275	428.9010179
276	426.3972374
277	423.8940225
278	416.7623874
279	414.3752051
280	411.6960852
281	409.4135705
282	407.1309086
283	402.3285104
284	400.0818012
285	393.4320542
286	391.2497678
287	389.0613077
288	386.9149501
289	384.6389051
290	382.5529803
291	376.244186
292	374.1956115
293	371.8815822
294	367.2850161
295	365.2893197
296	359.6365882
297	357.6651107
298	355.7455859
299	353.8765164
300	348.0614505
301	346.1480929
302	344.2966967
303	339.0079361
304	337.1923582
305	335.4141579
306	333.6562274
307	329.5706451
308	327.7992034
309	326.1048972
310	324.4565743
311	319.2908848
312	317.6513903
313	312.5001775
314	310.8035097
315	309.2144992
316	307.6430572
317	306.0973127
318	304.5732956
319	299.8304831
320	298.3433404
321	296.8696673
322	292.1008142
323	288.451808
324	286.9876388
325	285.5668208
326	284.159193
327	282.7781191
328	278.3701226
329	277.0152259
330	275.6795617
331	271.7631437
332	270.4530459
333	267.3213407
334	263.3830608
335	262.0852302
336	258.2067688
337	256.8788843
338	255.6258839
339	254.1136236
340	252.9121372
341	249.0593112
342	247.7202817
343	244.1665393
344	243.0081768
345	240.4598016
346	239.0540632
347	236.3818274
348	233.9111777
349	232.8088042
350	231.5193301
351	228.2628161
352	226.9594924
353	225.9045122
354	224.8497785
355	221.7741938
356	220.7688891
357	219.5225606
358	216.2219051
359	215.2117394
360	214.1693692
361	213.088158
362	210.1852488
363	209.246748
364	208.3221504
365	205.3644865
366	204.4726576
367	203.5554958
368	200.9056905
369	200.0175694
370	199.142834
371	196.5385414
372	195.6842906
373	194.8427455
374	194.0095776
375	191.552684
376	190.7381778
377	189.935852
378	187.8499327
379	187.0705707
380	186.281271
381	183.9164554
382	183.1723681
383	182.410083
384	180.1055011
385	179.3586423
386	178.6395098
387	177.9143578
388	177.2001148
389	174.9967519
390	174.2979108
391	172.2108162
392	170.5856636
393	169.8975874
394	169.2484781
395	167.1254125
396	166.5004182
397	165.8855945
398	163.8908524
399	163.2547926
400	162.6592176
401	160.7578145
402	160.1596781
403	159.5791924
404	157.6065603
405	157.0385923
406	156.480387
407	155.0337117
408	154.4648597
409	153.922518
410	151.9484818
411	151.4309103
412	150.1659209
413	149.6633243
414	148.2875065
415	147.1351145
416	145.3347744
417	144.8574123
418	144.3727368
419	143.2904276
420	142.8336637
421	142.2822821
422	140.6769303
423	140.2268916
424	139.7801965
425	138.6200497
426	138.1973628
427	137.2109658
428	135.6534874
429	134.7110995
430	134.3070166
431	133.4005523
432	133.0111576
433	131.5606345
434	131.1590481
435	130.2793787
436	129.9064703
437	129.4508808
438	128.2935621
439	127.3937008
440	126.9944943
441	126.6489616
442	126.2948607
443	124.9187122
444	123.6904807
445	123.3478873
446	123.0225794
447	122.6879243
448	121.8364071
449	120.6529985
450	120.3352966
451	120.0304927
452	119.3087295
453	119.0032221
454	118.6991203
455	118.4145433
456	117.3255951
457	117.0389243
458	115.8279302
459	115.5384076
460	114.8228266
461	114.5171501
462	114.255327
463	113.1121176
464	112.3977442
465	112.1455036
466	111.4211654
467	111.1804942
468	110.5562379
469	109.508591
470	108.5001936
471	108.2662394
472	108.039214
473	107.7744124
474	107.1919733
475	106.9687069
476	106.7539442
477	106.0922354
478	105.1887596
479	104.481715
480	104.2720105
481	104.0716734
482	103.2771225
483	102.6455516
484	102.1216989
485	101.9342028
486	101.0027122
487	100.8204187
488	100.6413148
489	100.4622411
490	99.57922394
491	99.38507735
492	99.21109473
493	98.36265635
494	98.19840626
495	97.4635511
496	97.30446273
497	96.58996156
498	96.43589047
499	95.57914713
500	95.41903923
501	95.27223889
502	95.12431493
503	94.65813506
504	94.51783451
505	93.79004357
506	93.16436281
507	92.41391006
508	91.95681877
509	91.79676317
510	91.66230182
511	90.97979258
512	90.84677956
513	90.69523136
514	90.09378078
515	89.62226252
516	89.48733211
517	89.37041606
518	89.2516362
519	88.5695243
520	87.71516374
521	87.59901234
522	87.46400693
523	87.35237499
524	86.99506161
525	86.86681579
526	86.31627304
527	85.6053985
528	85.50615876
529	84.69397865
530	84.59105433
531	84.48968869
532	84.38297425
533	83.74897473
534	83.61955182
535	83.52387305
536	83.43026745
537	82.86891365
538	82.24602487
539	82.15812067
540	81.83381233
541	81.34727053
542	81.25500968
543	81.17042563
544	81.09113247
545	80.58296796
546	80.33971837
547	80.26289862
548	79.76013352
549	79.68095697
550	79.37223926
551	79.2969426
552	78.9751363
553	78.90161269
554	78.65579502
555	78.58462789
556	78.27131689
557	77.83140663
558	77.33904228
559	77.2521106
560	77.18597892
561	77.10197808
562	76.62058078
563	76.31210409
564	75.760913
565	75.37546982
566	75.315915
567	74.89922796
568	74.84162863
569	74.66849523
570	74.61301976
571	74.16802592
572	73.97779938
573	73.60578407
574	73.55246882
575	73.2084356
576	72.75359326
577	72.70255678
578	72.54386768
579	72.15526502
580	72.10347731
581	72.05337417
582	71.6988776
583	71.53533214
584	71.47118067
585	71.32092664
586	70.97432623
587	70.43613143
588	70.27809493
589	70.13633683
590	70.01703118
591	69.97403865
592	69.93246703
593	69.54167084
594	69.22036399
595	69.18231523
596	68.70375157
597	68.57023823
598	68.53146696
599	68.38695965
600	68.30962215
601	68.18263144
602	67.79012849
603	67.411405
604	67.27249167
605	67.15682049
606	66.72821542
607	66.69280013
608	66.49655426
609	66.37534753
610	66.2569287
611	66.14026903
612	65.70644201
613	65.66645471
614	65.55345288
615	65.20578908
616	65.03215777
617	64.70833652
618	64.67903915
619	64.53778229
620	64.50772758
621	64.32581018
622	64.07024062
623	64.01176481
624	63.90931296
625	63.48282879
626	63.12754771
627	62.85377354
628	62.53752295
629	62.4192706
630	62.03282201
631	61.68484326
632	61.39043244
633	61.06265855
634	61.01029893
635	60.98385889
636	60.9215936
637	60.61346229
638	60.56005507
639	60.39469033
640	60.1395974
641	59.85332115
642	59.76430526
643	59.67714151
644	59.60466031
645	59.58411416
646	59.36182685
647	59.16031585
648	59.1411585
649	59.12021152
650	58.85637655
651	58.70694307
652	58.40049231
653	58.34806265
654	58.28460503
655	58.2152067
656	58.19431561
657	57.94801283
658	57.92222207
659	57.77917956
660	57.75293091
661	57.47271204
662	57.35384455
663	57.04889902
664	56.83191276
665	56.78138339
666	56.49621901
667	56.24443971
668	56.08055764
669	55.84795806
670	55.81383785
671	55.76980478
672	55.56087415
673	55.37622618
674	55.17521163
675	55.16037021
676	54.85805771
677	54.5933588
678	54.2729638
679	54.13975652
680	53.89166275
681	53.85002001
682	53.58477173
683	53.37040048
684	53.30608258
685	53.00601186
686	52.84490301
687	52.65206663
688	52.45979816
689	52.258298
690	52.0269617
691	51.9259251
692	51.64611335
693	51.52167281
694	51.30638955
695	51.09591249
696	50.87020986
697	50.76591892
698	50.5722069
699	50.3673901
700	50.2009481
701	50.0003795
702	49.84989326
703	49.68125565
704	49.62692583
705	49.57059956
706	49.40718543
707	49.2435899
708	49.17207201
709	49.02850144
710	48.97664668
711	48.82147415
712	48.69288553
713	48.43900645
714	48.27896695
715	48.08910831
716	48.06877806
717	48.0225166
718	47.83280785
719	47.63814916
720	47.45331498
721	47.3350052
722	47.19709879
723	47.01947949
724	46.94334345
725	46.78633014
726	46.72160506
727	46.65886839
728	46.53331923
729	46.32572862
730	46.22960612
731	46.04814047
732	45.87878595
733	45.70540929
734	45.68629702
735	45.64281463
736	45.44005984
737	45.29963451
738	45.12555987
739	44.96255195
740	44.80792475
741	44.77564224
742	44.62248478
743	44.48607374
744	44.30071718
745	44.13192063
746	43.9118755
747	43.87171892
748	43.81578468
749	43.68164962
750	43.54262295
751	43.53354576
752	43.38663137
753	43.20935529
754	43.15762529
755	43.03751136
756	42.85025956
757	42.81679256
758	42.78496645
759	42.70993342
760	42.53123619
761	42.46741913
762	42.31554179
763	42.19547223
764	41.99378567
765	41.85938227
766	41.72681114
767	41.53584295
768	41.49997399
769	41.42134649
770	41.31348741
771	41.29503126
772	41.16626147
773	41.03533869
774	40.96083046
775	40.78034849
776	40.63031104
777	40.52286455
778	40.4739218
779	40.27802647
780	40.25049695
781	40.08733742
782	39.96843435
783	39.78521992
784	39.61299119
785	39.59610113
786	39.41099997
787	39.27822999
788	39.24571011
789	39.07380383
790	38.96419144
791	38.8968793
792	38.78892266
793	38.64763762
794	38.5492699
795	38.372423
796	38.22338166
797	38.10127815
798	37.98008156
799	37.86400762
800	37.8249187
801	37.69851932
802	37.59070848
803	37.48715639
804	37.33191393
805	37.30285752
806	37.17527305
807	37.02705745
808	36.92107271
809	36.80637475
810	36.72548587
811	36.60082679
812	36.48053492
813	36.44687577
814	36.31957436
815	36.22162349
816	36.09730766
817	36.01150675
818	35.89973952
819	35.739851
820	35.7234796
821	35.58088523
822	35.45495533
823	35.36949566
824	35.31141424
825	35.25586325
826	35.20734991
827	35.17523362
828	35.08468719
829	35.07799266
830	34.91217634
831	34.84359547
832	34.70024044
833	34.68129912
834	34.54349778
835	34.47550546
836	34.380883
837	34.2591105
838	34.13951699
839	34.03828418
840	33.94789508
841	33.84041014
842	33.80584814
843	33.73583811
844	33.67053287
845	33.55839466
846	33.46386173
847	33.36164285
848	33.26976993
849	33.15587523
850	33.05679164
851	32.9742689
852	32.86675222
853	32.82026114
854	32.80855814
855	32.7749591
856	32.68234032
857	32.6624773
858	32.58298798
859	32.48321721
860	32.39194051
861	32.28538818
862	32.20090718
863	32.16443882
864	32.12652288
865	32.0348579
866	31.96088096
867	31.83380983
868	31.81364798
869	31.79828695
870	31.70527389
871	31.59059939
872	31.5372914
873	31.48587202
874	31.41333843
875	31.38208437
876	31.29148022
877	31.2343704
878	31.20908635
879	31.15100601
880	31.05936692
881	30.98658486
882	30.88659891
883	30.84367996
884	30.78170918
885	30.73617617
886	30.70042177
887	30.62180054
888	30.52462297
889	30.44384588
890	30.36094542
891	30.33722341
892	30.28404289
893	30.22135473
894	30.15304873
895	30.07636486
896	29.97406859
897	29.91027893
898	29.880805
899	29.85559087
900	29.82010503
901	29.72406844
902	29.68113445
903	29.66195266
904	29.64025213
905	29.60426364
906	29.50523251
907	29.44085491
908	29.37942696
909	29.27058942
910	29.18456652
911	29.10619702
912	29.02967272
913	28.98557805
914	28.85427437
915	28.82861802
916	28.77046596
917	28.68888204
918	28.59993999
919	28.49479169
920	28.4469239
921	28.38210588
922	28.32313566
923	28.22862433
924	28.14201046
925	28.07828744
926	28.0121065
927	27.9232683
928	27.86956123
929	27.77990871
930	27.70821566
931	27.62633449
932	27.5665226
933	27.5158991
934	27.4679836
935	27.37864657
936	27.33126702
937	27.30487881
938	27.21561813
939	27.16381632
940	27.11912133
941	27.03926622
942	26.97123169
943	26.9114516
944	26.82714193
945	26.7664367
946	26.71200769
947	26.67761922
948	26.63980896
949	26.54558084
950	26.49791
951	26.46276857
952	26.39762832
953	26.34704119
954	26.31851995
955	26.25770701
956	26.22581701
957	26.15825293
958	26.09583734
959	26.03301528
960	25.96874374
961	25.91191914
962	25.85933833
963	25.81156361
964	25.77686936
965	25.7283099
966	25.69671812
967	25.66227754
968	25.62557338
969	25.553529
970	25.50813684
971	25.47111486
972	25.4124557
973	25.39075257
974	25.34670071
975	25.3084531
976	25.25389375
977	25.24916967
978	25.20205572
979	25.13206692
980	25.06808629
981	25.02143817
982	24.97763534
983	24.9494654
984	24.89945286
985	24.86593646
986	24.81759401
987	24.79942317
988	24.72327335
989	24.66353127
990	24.61994567
991	24.56913666
992	24.54319577
993	24.48384657
994	24.45108668
995	24.39634495
996	24.37381594
997	24.36339317
998	24.32172609
999	24.26527241
